Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Les Aventuriers de la Galette;Restaurant;Crêperie;;98 Boulevard de la Petite Vitesse;;72100;;;LE MANS;72181;47.99291;0.19746;;;02 43 04 17 74;;lesaventuriersdelagalette@gmail.com;https://les-aventuriers-de-la-galette.eatbu.com/?lang=fr#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.99291, 0.19746;Sarthe
LES BAGUETTES D'OR;Restaurant;Cuisine du Monde;;40 Rue du Marché;;44270;;;MACHECOUL-SAINT-MEME;44087;46.992821;-1.821399;;;02 28 27 39 32;;;https://sites.google.com/site/restobaguettesdor/home;;;;;;;;;;;;;;;;;;;;;;;01/09/2025||31/12/2026||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||||||||;;;;;;46.992821, -1.821399;Loire-Atlantique
Les Canetons;Restaurant;Cuisine traditionnelle;;Face à l'Esplanade François André;BP 23;44500;;;LA BAULE-ESCOUBLAC;44055;47.28156;-2.4014;;;02 40 24 15 08;;baultibo@orange.fr;;;;;;;;;oui;;;Service en terrasse;;;;;;;;oui;;110;;;;;;;;47.28156, -2.4014;Loire-Atlantique
LES COMPTOIRS D'ALICE ET JULES;Hôtel restaurant;Cafétéria;;Chemin Vert - L'Immaculée;;44600;;;SAINT-NAZAIRE;44184;47.2872417;-2.2516046;;;02 40 91 10 27;;stnazaire@crescendo-restaurant.fr;;;;;;;;;;;;Plats à emporter,WiFi;;;;;;;;;;;oui;;||02 40 91 10 27||;;;"Menu adulte du jour (midi en semaine)||13,90|||| ; Menu adulte soir et week-end||16,90|||| ; Menu enfant||9,90||||";Tickets Restaurant;47.2872417, -2.2516046;Loire-Atlantique
Les Pagannes;Restaurant;Brasserie;;Centre Commercial Carrefour;Route d'Angers;49300;;;CHOLET;49099;47.0754;-0.84279;;;02 41 58 74 66;;guillchar@hotmail.fr;;;;;;;;;oui;;;Chaise haute / Réhausseur,Service en terrasse,WiFi;80;;20;;;;Anglais,Espagnol,Français;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.0754, -0.84279;Maine-et-Loire
LES SOIREES AU MOULIN;Restaurant;Guinguette;Moulin du Chaffault;;;44310;;;LA LIMOUZINIERE;44083;46.9977122;-1.6038067;;;;;contact@vignoblemalidain.com;vignoblemalidain.com;;;;;;;;oui;;;;;;;;;;;oui;;;non;;||||contact@vignoblemalidain.com;;;;;46.9977122, -1.6038067;Loire-Atlantique
Les Tonnelles;Restaurant;Guinguette;;13 rue du Port;Villevêque;49140;;;RIVES-DU-LOIR-EN-ANJOU;49377;47.56218;-0.42268;;;02 41 32 38 70;;contact@lestonnelles.fr;http://www.lestonnelles.fr/;;"Facebook||https://www.facebook.com/LesTonnelles49/ ; Instagram||https://www.instagram.com/lestonnelles49";;;Le petit futé;;;oui;;;Chaise haute / Réhausseur,Service en terrasse,Table à langer;40;;86;;;;Anglais,Français;oui;;55;;"27/04/2024||29/09/2024||||||||||||||12:00||13:30||18:00||21:00||12:00||13:30||18:00||21:00||12:00||13:30||18:00||21:00||12:00||13:30||18:00||21:00||12:00||13:30||18:00||21:00||12:00||18:00|||| ; 19/04/2025||05/10/2025||||||||||||||10:30||15:00||18:00||23:00||10:30||15:00||18:00||23:00||10:30||15:00||18:00||23:00||10:30||15:00||18:00||23:00||10:30||15:00||18:00||23:00||10:30||15:30|||| ; 25/04/2026||11/10/2026||||||||||||||10:30||15:00||||||10:30||15:00||||||10:30||15:00||18:00||23:00||10:30||15:00||18:00||23:00||10:30||15:00||18:00||23:00||10:30||17:00||||";;;;;Cartes bancaires,Espèces;47.56218, -0.42268;Maine-et-Loire
Les Touch'Gourmandes;Restaurant;Cuisine traditionnelle;Rue des Frères Lumière;ZI des Touches;;53000;;;LAVAL;53130;48.0843217;-0.7375676;;;02.43.56.08.83;;lestouch.gourmandes@adapei53.fr;https://lestouchgourmandes.wordpress.com/acces-2/;;;;;;;;;;;;92;;;;;;;;;;oui;;;;;;;48.0843217, -0.7375676;Mayenne
Levrette Café Laval;;Bistrot / bar à vin;;1 Place Saint-Tugal;;53000;;;LAVAL;53130;48.06961;-0.77388;;;02 43 65 75 23;;laval@levrettecafe.fr;;;;;;;;;;;;;;;;;;;;;;;;||||||||17:00||23:00||||||17:00||01:00||||||17:00||02:00||||||17:00||02:00||||||17:00||02:00||||||17:00||00:00||||||||||||;;;;;;48.06961, -0.77388;Mayenne
LG Traiteur;;Cuisine traditionnelle;;27 Avenue Georges Auric;;72700;;;ROUILLON;72257;48.012473;0.150147;;;02 43 28 01 07;;lg-traiteur@orange.fr;http://lg-traiteur.fr/;;Facebook||https://www.facebook.com/Lg-Traiteur-1563223190407208/;;;;;;non;;;Plats à emporter,Traiteur;;;;;;;;non;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;48.012473, 0.150147;Sarthe
